# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.SED         Flux.SEDerr      Flux.SEDINT      Flux.SEDINTerr 
   +9.10148e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.37797e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.66286e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.95640e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.02589e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.05705e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.08916e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.12225e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.15634e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.19147e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.22767e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.26496e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.30339e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.34298e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.38378e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.42582e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.46913e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.51376e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.55975e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.60713e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.65595e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.70626e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.75809e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.81150e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.86653e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.92323e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.98166e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.04186e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.10389e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.16780e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.23366e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.30151e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.37143e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.44347e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.51770e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.59418e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.67299e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.75419e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.83786e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.92407e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.01290e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.10442e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.19873e-01     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
